Month,Avg. Players,Gain,% Gain,Peak Players
16-Dec,"17,176.90","1,821.40",11.86%,"30,859"
16-Nov,"15,355.50","4,763.60",44.97%,"42,265"
16-Oct,"10,591.90",180.2,1.73%,"19,467"
16-Sep,"10,411.70","-3,559.50",-25.48%,"18,099"
16-Aug,"13,971.20","3,117.00",28.72%,"32,084"
16-Jul,"10,854.20","1,851.50",20.57%,"39,382"
16-Jun,"9,002.70","1,933.00",27.34%,"15,295"
16-May,"7,069.70",-573.9,-7.51%,"14,447"
16-Apr,"7,643.60","1,518.10",24.78%,"29,170"
16-Mar,"6,125.50","-3,138.00",-33.88%,"11,234"
16-Feb,"9,263.50",-980.8,-9.57%,"16,044"
16-Jan,"10,244.30","2,302.80",29.00%,"20,006"
15-Dec,"7,941.40",,,"18,130"
